hhid,sexe_chef_bin,age_chef,educ_hi_chef,annees_scol_chef,niveau_instruction_chef,diplome_chef,activite_chef,branch_chef,csp_chef,departement,departement_nom,milieu,milieu_urbain,hhweight,dep_totale_annuelle,dep_educ,educ_hi_mere,niveau_instruction_mere,taille_menage,choc_economique,choc_naturel,choc_quelconque,tv,frigo,cuisin,ordin,decod,car,score_actifs,acces_electricite,logem,toilet,eauboi_ss,dep_percapita,log_dep_totale,log_dep_percapita,chef_instruit,chef_superieur,ethnie_chef_code,religion_chef_code,mstat_chef_code,agemar_chef,nation_chef_code,internet_chef,telpor_chef,bank_chef,handit_chef,handig_chef,moustiq_chef,couvmal_chef,alfa_chef,annee_naissance_chef,religion_chef_lbl,mstat_chef_lbl,mur_ameliore,toit_ameliore,sol_ameliore,eauboi_sp_ameliore,elec_urbain,elec_autre,ordure_amelioree,eval_toilettes,eval_eau,actif_fer,superficie_terre_ha,nb_gros_ruminants,nb_petits_ruminants,nb_porcins,nb_lapins,nb_volailles,choc_idiosyncr_demo,choc_collectif_naturel,choc_collectif_eco,choc_idiosyncr_eco,choc_collectif_violence,choc_collectif_autre
3082,1,37,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,1718266.88349261,0.0,1.0,1_Aucun,10,0,1,1,0,0,0,0,0,0,0,1,2,0,0,171826.688349261,14.356826714917,12.054241621923,0,0,18.0,1,3,20.0,1,0,0,0,0,0,1,0,0,12,1_Catholique,3_Marie polygame,0,1,1,0,0,1,1,0,0,0,6.29999995231628,5,6,0,0,53,0,1,0,1,0,0
3092,1,29,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,2143801.65797642,0.0,1.0,1_Aucun,4,1,1,1,0,0,0,0,0,0,0,1,2,0,0,535950.414494106,14.5780912866213,13.1917969255014,0,0,18.0,1,2,23.0,1,1,1,0,0,0,1,0,1,12,1_Catholique,2_Marie monogame,1,1,1,0,0,1,0,0,0,0,0.0755899995565414,2,10,0,0,0,0,1,1,0,0,0
3103,1,30,6,11,4_Secondaire2,2,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,2964194.43273926,43500.0,1.0,1_Aucun,5,1,0,1,0,0,0,0,0,0,0,1,2,0,0,592838.886547852,14.9021158613368,13.2926779489027,1,0,18.0,1,2,20.0,1,1,1,0,0,0,1,0,1,12,1_Catholique,2_Marie monogame,1,1,1,1,0,1,0,0,0,0,3.17234230041504,0,0,0,0,0,0,0,1,0,1,0
3113,1,34,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,2045315.41455078,0.0,1.0,1_Aucun,8,1,0,1,0,0,0,0,0,0,0,1,2,0,0,255664.426818848,14.5310625725099,12.4516210308301,0,0,18.0,5,3,23.0,1,0,0,0,0,0,1,0,0,12,5_Sans religion,3_Marie polygame,1,1,1,0,0,1,0,1,0,0,1.64745585247874,0,0,0,0,0,0,0,1,0,0,0
3123,1,25,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,2613291.38604736,0.0,1.0,1_Aucun,5,1,0,1,0,0,0,0,0,0,0,1,2,0,0,522658.277209473,14.7761210522723,13.1666831398382,0,0,18.0,1,2,20.0,1,0,0,0,0,0,1,0,0,13,1_Catholique,2_Marie monogame,1,1,1,0,0,1,0,0,0,0,0.0374729987233877,6,8,0,0,10,0,0,1,0,0,0
4016,0,63,1,0,1_Aucun,0,Menagere,1.0,8.0,1,Alibori,2,0,334.547709340796,1156228.86317662,0.0,1.0,1_Aucun,4,0,0,1,0,0,0,0,0,0,0,1,4,0,0,289057.215794155,13.9606742871458,12.5743799260259,0,0,18.0,1,5,18.0,1,0,1,0,1,0,1,0,0,22,1_Catholique,5_Veuf/Veuve,1,1,0,0,0,1,1,0,0,0,1.24727940559387,0,2,0,0,0,1,0,0,0,0,0
4024,1,81,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,334.547709340796,1095453.64714704,25000.0,1.0,1_Aucun,5,0,1,1,0,0,0,0,0,0,0,1,2,0,0,219090.729429408,13.9066791250705,12.2972412126364,0,0,18.0,3,2,25.0,1,0,1,0,0,0,1,0,0,22,3_Protestant/Celeste,2_Marie monogame,0,1,0,0,0,1,0,0,0,0,1.54000002145767,0,0,0,0,16,0,1,0,0,0,0
4032,1,32,6,11,4_Secondaire2,5,Emploi,9.0,2.0,1,Alibori,2,0,334.547709340796,1851582.42564174,45700.0,4.0,3_Secondaire1,6,1,0,1,1,0,0,0,1,0,2,1,3,0,0,308597.07094029,14.4315511966499,12.6397917274219,1,0,1.0,3,2,23.0,1,1,1,1,0,0,1,0,1,21,3_Protestant/Celeste,2_Marie monogame,0,1,1,0,0,1,0,0,0,0,0.5,0,0,0,0,12,0,0,1,0,0,0
4048,1,39,3,6,2_Primaire,0,Emploi,5.0,9.0,1,Alibori,2,0,334.547709340796,1743907.28168588,17500.0,,,5,1,0,1,0,0,0,0,0,0,0,1,2,0,0,348781.456337176,14.3716387178669,12.7622008054328,1,0,42.0,2,7,18.0,1,1,1,1,0,0,1,0,1,21,2_Musulman,7_Autre,1,1,1,0,0,1,0,0,0,0,4.05000007152557,2,0,0,0,10,0,0,1,0,0,0
4056,1,81,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,334.547709340796,2995914.37308175,12000.0,1.0,1_Aucun,7,1,0,1,0,0,0,0,0,0,0,1,2,0,0,427987.767583108,14.9127600427975,12.9668498937422,0,0,18.0,2,2,21.0,1,0,1,0,1,0,1,0,0,21,2_Musulman,2_Marie monogame,1,1,1,0,0,1,1,0,0,0,1.932000041008,3,4,0,0,0,0,0,1,0,0,0
4064,1,40,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,334.547709340796,2260291.23868234,7000.0,1.0,1_Aucun,6,0,1,1,0,0,0,0,0,0,0,1,2,0,0,376715.206447057,14.6310042296195,12.8392447603914,0,0,18.0,2,2,17.0,1,0,1,1,0,0,1,0,1,21,2_Musulman,2_Marie monogame,1,1,1,0,0,1,1,0,0,0,3.29294323921204,2,5,0,0,0,0,1,0,0,0,0
4068,1,74,3,6,2_Primaire,1,Emploi,1.0,9.0,1,Alibori,2,0,1053.67355118282,2509102.55712891,61000.0,1.0,1_Aucun,11,0,0,0,1,0,0,0,1,1,3,1,2,1,0,228100.232466264,14.7354357002122,12.3375404274138,1,0,18.0,1,3,23.0,1,1,1,1,0,0,1,0,1,22,1_Catholique,3_Marie polygame,1,1,1,0,0,1,0,1,0,0,3.01709496974945,0,0,0,0,0,0,0,0,0,0,0
4080,1,44,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,334.547709340796,1406599.40902274,17000.0,1.0,1_Aucun,8,1,0,1,0,0,0,0,0,0,0,0,2,0,0,175824.926127843,14.15668558271,12.0772440410302,0,0,18.0,2,2,18.0,1,0,1,0,0,0,1,0,0,21,2_Musulman,2_Marie monogame,1,1,1,1,0,0,1,0,0,0,1.01230001449585,0,5,0,0,0,1,0,1,1,0,0
4088,1,34,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,334.547709340796,2224637.48669434,7000.0,1.0,1_Aucun,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,741545.828898112,14.61510453298,13.5164922443119,0,0,18.0,1,2,20.0,1,0,1,1,0,0,1,0,0,21,1_Catholique,2_Marie monogame,1,1,1,0,0,1,0,0,0,0,11.0905244350433,3,0,0,0,40,0,0,0,0,0,0
4097,1,42,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,334.547709340796,1600481.67419434,30000.0,1.0,1_Aucun,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,228640.239170619,14.2858151882761,12.3399050392208,0,0,18.0,1,2,21.0,1,0,1,0,0,0,1,0,0,21,1_Catholique,2_Marie monogame,0,1,0,0,0,0,0,0,0,0,3.30528390407562,2,0,0,0,0,0,0,0,0,0,0
4113,1,41,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,334.547709340796,2212426.22387695,51000.0,1.0,1_Aucun,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,245825.135986328,14.6096003101679,12.4123757328317,0,0,18.0,2,2,26.0,1,0,1,0,0,0,1,0,0,21,2_Musulman,2_Marie monogame,1,1,1,0,0,1,0,0,0,0,6.75302678346634,2,3,0,0,3,0,0,0,0,0,0
